# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
	.10071	uc011cml.2		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
	.10089	uc003jfg.3		0	4	0	193	0	0	0	0	0	0	2	0	159	0	36	0	0	0	4	0	0	0	0	0
	.10259	uc003khb.1	protein_coding	0	2	0	29	0	2	3	0	0	0	3	0	19	0	0	0	0	0	0	0	0	0	0	4
	.10259	uc011ctn.2		0	1	0	120	0	0	0	0	0	0	0	0	105	0	16	0	0	0	1	0	0	0	0	0
	.10259	uc011cto.1		0	0	0	26	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2
	.10269	uc003kiy.1		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
	.10269	uc010jav.3		0	0	0	49	0	0	0	0	0	0	0	0	42	0	7	0	0	0	0	0	0	0	0	0
	.10405	uc003lfn.3		0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
	.10407	uc021yeo.1		0	0	0	21	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14
	.10413	uc011daz.2	protein_coding	1	4	3	29	0	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	1	0	4	12
	.10466	uc003lxm.1		0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
	.10502	uc021yhq.1		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
	.10609	uc021ylb.1		0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
	.10644	uc003nce.2	protein_coding	0	2	3	33	1	1	1	0	0	0	0	0	24	3	0	0	0	0	0	0	0	0	1	7
	.10645	uc003ncj.3	protein_coding	1	2	5	14	1	0	0	0	0	0	1	0	11	5	0	0	0	0	2	0	1	0	2	1
	.10880	uc003nsn.2		0	0	0	22	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
	.10881	uc011dnf.1		0	0	0	33	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	12
	.10882	uc011dng.1		0	0	0	25	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	18
	.10883	uc011dnh.1		0	0	0	20	0	0	0	0	0	0	14	0	1	0	3	0	0	0	0	0	0	0	0	2
	.10906	uc021yvc.1		0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
	.10907	uc010jtn.1		0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
	.11133	uc021yzy.1		0	0	0	22	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
	.11172	uc010kaa.1		1	1	0	37	0	0	0	0	0	0	7	0	10	0	5	0	1	0	1	0	0	0	0	17
	.11174	uc003pdg.2		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
	.1126	uc001hsm.1		0	0	0	36	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	24
	.1127	uc009xfa.3	protein_coding	0	4	4	44	0	2	5	0	0	0	18	0	4	4	0	0	0	0	0	0	0	0	2	17
	.11288	uc011ebi.1		0	3	0	70	0	0	0	0	0	0	0	0	60	0	12	0	0	0	3	0	0	0	0	1
	.11289	uc010keg.2		0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4
	.11400	uc010kja.2	protein_coding	4	12	8	69	2	4	10	0	0	0	10	0	45	8	0	0	1	0	2	0	3	0	6	5
